35
id	Codigo		Creditos		Peso		Nome	Pre-requisitos

1	113034		6				2			C1		0
2	113468		4				3			ISC		0
3	113450		4				3			FTC		0
4	113476		6				2			APC		0
5	116726		2				1			IS 	    0

6	116351		6				2			CD 		0
7	116319		4				2			ED		4 0
8	113042		6				3			C2		1 0
9	113093		4				1			IAL		0

10	116394		4				3			OAC		6 0
11	117889		4				2			TP1		7 0
12	113107		4				2			A1		0
13	113417		4				2			CN		8 0
14	115045		6				2			PE 		1 0

15	117366		4				3			LC1		3 -1 7 0
16	117897		4				3			TP2		11 0
17	116327		4				2			OA 		14 7 0
18	117901		4				1			TAG		7 0
19	116572		4				3			RC		7 8 14 0

20	116343		4				3			LP		7 0
21	117935		4				2			PC		10 16 0
22	116441		4				3			ES		20 -1 11 0
23	116378		4				2			BD 		17 0
24	116653		4				1			IIA		15 7 0

25	116432		4				3			SB 		10 7 0
26	117960		4				2			FSO		21 0
27	116882		6				3			AC 		12 0 
28	116416		4				1			SI 		7 -1 23 0
29	117943		4				2			CE 		7 14 0

30	117536		4				3			PAA 	1 11 -1 1 7 0
31	117951		4				3			Comp	20 25 27 0
32	117927		4				2			SC		19 0

33	117919		2				2			MC		0 
34	116912		6				3			TG1		0

35	116291		4				3			TG2		33 34 0
