Posicao: 1 | Code == 113034 | Name: C1
Posicao: 2 | Code == 113468 | Name: ISC
Posicao: 3 | Code == 113450 | Name: FTC
Posicao: 4 | Code == 113476 | Name: APC
Posicao: 5 | Code == 116726 | Name: IS
Posicao: 6 | Code == 116351 | Name: CD
Posicao: 7 | Code == 113093 | Name: IAL
Posicao: 8 | Code == 113107 | Name: A1
Posicao: 9 | Code == 117919 | Name: MC
Posicao: 10 | Code == 116912 | Name: TG1
Posicao: 11 | Code == 113042 | Name: C2
Posicao: 12 | Code == 115045 | Name: PE
Posicao: 13 | Code == 116319 | Name: ED
Posicao: 14 | Code == 116394 | Name: OAC
Posicao: 15 | Code == 116882 | Name: AC
Posicao: 16 | Code == 116291 | Name: TG2
Posicao: 17 | Code == 113417 | Name: CN
Posicao: 18 | Code == 116327 | Name: OA
Posicao: 19 | Code == 116343 | Name: LP
Posicao: 20 | Code == 116572 | Name: RC
Posicao: 21 | Code == 117366 | Name: LC1
Posicao: 22 | Code == 117889 | Name: TP1
Posicao: 23 | Code == 117901 | Name: TAG
Posicao: 24 | Code == 117943 | Name: CE
Posicao: 25 | Code == 116432 | Name: SB
Posicao: 26 | Code == 116378 | Name: BD
Posicao: 27 | Code == 117927 | Name: SC
Posicao: 28 | Code == 116653 | Name: IIA
Posicao: 29 | Code == 116441 | Name: ES
Posicao: 30 | Code == 117536 | Name: PAA
Posicao: 31 | Code == 117897 | Name: TP2
Posicao: 32 | Code == 117951 | Name: Comp
Posicao: 33 | Code == 116416 | Name: SI
Posicao: 34 | Code == 117935 | Name: PC
Posicao: 35 | Code == 117960 | Name: FSO
